# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457835.583085    0.002900    0.003294  15.034  0.0011  3.617 0.200 1.59973  1299.146   357.013 -179.89    49.47  6144  1  3 0 0  0.000139    0.002125
2457835.583541    0.010525    0.003341  15.034  0.0000  3.268 0.080 1.59490  1299.193   354.065 -179.89    49.15  6622  1  3 0 0  0.000168    0.009703
2457835.606500    0.000195    0.002881  15.034 -0.0004  3.342 0.096 1.39620  1299.141   365.555 -179.89    37.80  6916  1  3 0 0 -0.000280   -0.000456
2457835.606945    0.005070    0.002687  15.034  0.0044  2.843 0.041 1.39307  1299.753   368.808 -179.89    37.55  9038  1  3 0 0 -0.000277    0.004368
2457835.607388    0.006276    0.002985  15.034 -0.0004  3.824 0.212 1.38998  1299.915   356.956 -179.89    37.11  5849  1  3 0 0 -0.000275    0.005673
2457835.607829    0.000527    0.002699  15.034 -0.0033  3.197 0.078 1.38693  1299.482   354.239 -179.89    36.73  6934  1  3 0 0 -0.000273   -0.000140
2457835.628423    0.003115    0.002651  15.034 -0.0043  2.739 0.071 1.26688  1299.528   353.704 -179.89    30.54  9685  1  3 0 0 -0.000270    0.002399
2457835.628865    0.002439    0.002607  15.034 -0.0036  2.921 0.177 1.26473  1299.327   361.057 -179.89    30.39  9831  1  3 0 0 -0.000290    0.001749
2457835.629310    0.002188    0.002630  15.034 -0.0015  2.493 0.081 1.26258  1299.307   368.001 -179.88    30.24 12094  1  3 0 0 -0.000310    0.001462
2457835.629749   -0.000634    0.002656  15.034 -0.0088  2.869 0.225 1.26047  1299.397   366.264 -179.89    30.07  8787  1  3 0 0 -0.000329   -0.001315
2457835.650302    0.000309    0.002546  15.034 -0.0091  2.913 0.070 1.17774  1299.230   364.254 -179.88    27.08  9733  1  3 0 0 -0.000923   -0.000150
2457835.650740    0.007860    0.002406  15.034 -0.0079  3.770 0.228 1.17628  1299.883   360.763 -179.89    26.59  6179  1  3 0 0 -0.000905    0.007482
2457835.651184    0.004595    0.002559  15.034  0.0013  2.652 0.084 1.17481  1300.445   355.390 -179.88    26.49 10393  1  3 0 0 -0.000887    0.004096
2457835.651628    0.008430    0.002567  15.034 -0.0048  3.220 0.203 1.17336  1300.431   365.332 -179.88    26.48  8308  1  3 0 0 -0.000869    0.007982
2457835.675616    0.007531    0.002481  15.034 -0.0084  2.555 0.082 1.11082  1299.187   362.779 -179.88    22.19 11522  1  3 0 0  0.000267    0.006601
2457835.676055    0.005246    0.002444  15.034 -0.0047  2.627 0.143 1.10995  1299.807   359.827 -179.88    22.03 11372  1  3 0 0  0.000293    0.004314
2457835.676499    0.005599    0.002471  15.034 -0.0009  2.353 0.048 1.10907  1299.875   360.539 -179.88    22.01 13585  1  3 0 0  0.000319    0.004629
2457835.676944    0.001092    0.002462  15.034 -0.0049  2.461 0.074 1.10821  1299.362   360.804 -179.88    22.04 12799  1  3 0 0  0.000345    0.000124
2457835.696056    0.007929    0.002397  15.034 -0.0017  2.568 0.102 1.07921  1300.220   361.768 -179.88    20.93 12762  1  3 0 0  0.001737    0.006463
2457835.696519   -0.000849    0.002648  15.034 -0.0105  2.491 0.130 1.07869  1300.657   361.442 -179.88    20.92 11418  1  3 0 0  0.001778   -0.002337
2457835.696962   -0.001436    0.002443  15.034 -0.0104  2.266 0.059 1.07821  1300.250   357.860 -179.88    20.89 15741  1  3 0 0  0.001816   -0.002961
2457835.697411    0.007891    0.002449  15.034 -0.0073  2.325 0.086 1.07774  1299.790   361.116 -179.88    20.66 14309  1  3 0 0  0.001855    0.006357
2457835.713990   -0.002033    0.002332  15.034 -0.0036  2.575 0.063 1.06568  1298.244   359.627 -179.88    19.97 12685  1  3 0 0  0.001948   -0.003575
2457835.714431   -0.000274    0.002372  15.034 -0.0133  2.370 0.027 1.06550  1298.036   358.408 -179.87    20.03 12405  1  3 0 0  0.001908   -0.001822
