# telescope   = tel04
# season      = 2011-2017
# filter      = RG715
# aperture    = 8.000     pix
# deblend     = 0
# null_dc[1]  = -0.001101 mag
# null_dc[2]  = 0.000375  mag
# null_cm     = 0.225549  mag/mag
# null_fwhm_k = -0.000587 mag/pix
# null_fwhm_0 = 3.641000  pix
# null_chidof = 3.107
# null_nfit   = 451
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457890.738525   -0.002530    0.004780   8.027  0.0176  3.064 0.121 1.43736   713.903  1763.504   -0.01    27.91  8705  2  9 0 0  0.002362   -0.003776
2457890.769385    0.010282    0.004792   8.027  0.0243  3.197 0.162 1.59611   714.200  1763.984   -0.01    26.15  9093  2  9 0 0  0.001578    0.009290
2457890.769825   -0.001259    0.004654   8.027  0.0241  3.236 0.131 1.59915   714.825  1763.281   -0.01    25.97  8914  2  9 0 0  0.001519   -0.002214
2457890.770262   -0.006626    0.004697   8.027  0.0271  3.303 0.128 1.60218   715.409  1766.075   -0.01    25.65  8675  2  9 0 0  0.001462   -0.007529
2457890.770704    0.017549    0.004297   8.027  0.0307  3.136 0.144 1.60528   715.413  1764.635   -0.01    25.77  8908  2  9 0 0  0.001403    0.016561
2457890.771130   -0.003336    0.004220   8.027  0.0143  3.112 0.154 1.60830   714.850  1764.796   -0.01    26.00  9196  2  9 0 0  0.001346   -0.004325
2457890.789394   -0.007412    0.005331   8.027  0.0258  3.698 0.119 1.76348   714.454  1765.490   -0.01    25.70  6438  2  9 0 0  0.000418   -0.007848
2457890.789836   -0.001076    0.005198   8.027  0.0313  3.415 0.143 1.76795   714.810  1764.994   -0.01    25.61  8273  2  9 0 0  0.000507   -0.001698
2457890.790264    0.006939    0.004474   8.027  0.0366  3.482 0.107 1.77232   715.380  1765.921   -0.01    25.44  7682  2  9 0 0  0.000593    0.006337
2457890.790703    0.000794    0.005725   8.027  0.0282  3.680 0.129 1.77684   714.607  1762.326   -0.01    25.20  6649  2  9 0 0  0.000681    0.000289
2457890.791143   -0.011347    0.005327   8.027  0.0246  3.646 0.137 1.78140   715.214  1765.428   -0.01    25.02  7210  2  9 0 0  0.000769   -0.011892
2457891.727553   -0.012732    0.003978   8.027 -0.0408  5.200 0.173 1.41009   704.918  1771.307    0.00    29.37  3163  2  9 0 0  0.004346   -0.013172
2457891.729451   -0.014755    0.004743   8.027 -0.0616  5.404 0.208 1.41596   717.203  1763.620   -0.00    27.88  2509  2  9 0 0  0.004645   -0.015143
2457891.729884   -0.006422    0.004850   8.027 -0.1132  4.246 0.145 1.41733   715.950  1769.370   -0.01    27.10  2231  2  9 0 0  0.004713   -0.007505
2457891.730335    0.008025    0.008236   8.027 -0.1948  6.675 0.111 1.41878   714.357  1755.929    0.00    26.76   832  2  9 0 0  0.004784    0.008352
2457891.730794   -0.009519    0.004327   8.027 -0.2317  4.239 0.167 1.42028   716.712  1761.917   -0.00    26.59  3209  2  9 0 0  0.004856   -0.010638
2457891.747564    0.006635    0.004253   8.027 -0.0292  4.975 0.217 1.48688   714.729  1772.953   -0.01    23.39  3314  2  9 0 0  0.007024    0.005459
2457891.748004    0.004991    0.003947   8.027 -0.0299  4.685 0.130 1.48897   716.974  1775.550    0.00    23.43  2638  2  9 0 0  0.007016    0.003646
2457891.748439   -0.032734    0.006043   8.027 -0.2291  3.818 0.035 1.49105   716.777  1760.771   -0.01    22.88  2237  2  9 0 0  0.007009   -0.034586
2457891.748895    0.011843    0.004187   8.027 -0.1763  5.778 0.179 1.49325   713.673  1763.610   -0.00    22.45  1489  2  9 0 0  0.007001    0.011143
2457891.749333   -0.010580    0.004007   8.027 -0.0374  5.642 0.225 1.49539   714.327  1762.001   -0.00    22.17  1991  2  9 0 0  0.006994   -0.011358
2457891.775140    0.003799    0.004230   8.027 -0.0207  4.680 0.275 1.65993   713.350  1759.274   -0.00    32.40  3676  2  9 0 0  0.006498    0.002569
2457891.775574   -0.018550    0.004874   8.027 -0.0399  4.209 0.120 1.66346   713.754  1762.862   -0.01    32.38  4649  2  9 0 0  0.006489   -0.020055
